group,n,diff
1,10,-0.059775710105896
1,14,-0.05895578861236505
1,3,-0.05803167819976807
1,5,-0.05791544914245605
1,7,-0.05751025676727295
1,5,-0.05723297595977695
1,5,-0.05723297595977695
1,4,-0.05691277980804399
1,7,-0.05501246452331498
1,6,-0.0544159412384031
1,8,-0.05429196357727006
1,8,-0.05429196357727006
1,6,-0.05401623249053912
1,5,-0.05394208431243897
1,12,-0.05377769470214799
1,6,-0.05329430103302002
1,11,-0.05312633514404297
1,7,-0.05292165279388406
1,6,-0.05288398265838602
1,6,-0.05288398265838602
1,6,-0.05288398265838602
1,8,-0.05251026153564409
1,8,-0.05251026153564409
1,10,-0.05201637744903498
1,3,-0.05200827121734597
1,7,-0.05160236358642489
1,7,-0.05160236358642489
1,7,-0.05061101913452104
1,7,-0.04918515682220392
1,10,-0.04901301860809304
1,3,-0.04812431335449197
1,3,-0.0475800037384031
1,4,-0.04739785194396906
1,21,-0.04653048515319802
1,5,-0.04596495628356888
1,9,-0.04581415653228693
1,6,-0.04570174217224099
1,4,-0.04497957229614191
1,5,-0.04454517364501909
1,7,-0.04450643062591508
1,11,-0.04445910453796298
1,6,-0.04418039321899392
1,4,-0.04388666152954102
1,3,-0.04338431358337402
1,10,-0.04318642616271906
1,15,-0.0431045293807979
1,3,-0.04282963275909402
1,7,-0.0428192615509031
1,11,-0.04207038879394509
1,8,-0.0419946908950799
1,18,-0.041628718376159
1,3,-0.04105293750762895
1,23,-0.04104948043823198
1,6,-0.04071962833404497
1,3,-0.0397673845291131
1,9,-0.03943026065826394
1,5,-0.03935635089874201
1,8,-0.03907692432403498
1,15,-0.03894793987274103
1,19,-0.03783011436462402
1,29,-0.03730916976928711
1,5,-0.03661978244781493
1,5,-0.03658795356750399
1,9,-0.03654170036315897
1,8,-0.03650522232055597
1,7,-0.03643488883972101
1,13,-0.03626835346221902
1,8,-0.03618979454040505
1,11,-0.03618752956390292
1,6,-0.03614819049835205
1,8,-0.03611326217651301
1,3,-0.03601396083831698
1,7,-0.03596806526183993
1,7,-0.0358635187149039
1,3,-0.0356587171554561
1,6,-0.03560614585876398
1,4,-0.03550732135772705
1,7,-0.0353084802627559
1,5,-0.03512954711913997
1,6,-0.03469777107238703
1,5,-0.03468227386474609
1,17,-0.03452444076537997
1,6,-0.03450012207031206
1,10,-0.03444254398345903
1,9,-0.03444230556487993
1,7,-0.03433358669281007
1,6,-0.03428936004638605
1,3,-0.03421914577484109
1,13,-0.03410542011260898
1,11,-0.03409242630004794
1,5,-0.03408348560333208
1,4,-0.03404593467712402
1,11,-0.03395628929138095
1,6,-0.03395402431487993
1,7,-0.03385162353515603
1,9,-0.03381443023681596
1,14,-0.0337332487106321
1,3,-0.03369069099426203
1,4,-0.03368520736694292
1,6,-0.03366732597351008
1,3,-0.03365242481231689
1,6,-0.03364813327789306
1,6,-0.03364813327789306
1,6,-0.03364813327789306
1,6,-0.03364813327789306
1,13,-0.033608078956604
1,7,-0.03353548049926691
1,7,-0.03353548049926691
1,15,-0.03351020812988192
1,5,-0.03349280357360795
1,13,-0.03343236446380593
1,9,-0.03337371349334695
1,6,-0.0332889556884759
1,7,-0.03328132629394509
1,14,-0.03324556350708008
1,7,-0.03323805332183793
1,4,-0.0332279205322259
1,4,-0.03319823741912797
1,4,-0.03319823741912797
1,10,-0.033172607421875
1,21,-0.0331140756607049
1,17,-0.03311204910278298
1,3,-0.03306353092193604
1,12,-0.03301155567169189
1,7,-0.03299856185912997
1,15,-0.032981276512146
1,10,-0.03293573856353693
1,14,-0.03290772438049293
1,12,-0.03289496898651102
1,23,-0.03288841247558594
1,11,-0.03285479545593195
1,12,-0.03281521797180108
1,8,-0.03277993202209406
1,6,-0.03261852264404297
1,3,-0.03260564804077104
1,11,-0.03258490562438898
1,10,-0.03254735469818093
1,10,-0.03252267837524392
1,3,-0.03249919414520197
1,9,-0.03246045112609797
1,9,-0.03243529796600297
1,21,-0.0323928594589229
1,5,-0.03232455253601008
1,11,-0.03223586082458496
1,8,-0.03221487998962402
1,4,-0.03217136859893799
1,4,-0.03217136859893799
1,4,-0.03217136859893799
1,9,-0.03216266632079989
1,15,-0.03215849399566606
1,6,-0.03214478492736793
1,4,-0.03194737434387207
1,8,-0.03186273574829102
1,3,-0.03176605701446511
1,3,-0.03176605701446511
1,3,-0.0317295789718619
1,9,-0.03168046474456698
1,17,-0.03166532516479492
1,27,-0.03157353401183993
1,5,-0.03154933452606201
1,15,-0.03145456314086892
1,10,-0.03142619132995605
1,7,-0.03137159347534092
1,15,-0.03136944770812899
1,14,-0.0313417911529541
1,9,-0.03124499320983798
1,7,-0.03123712539672807
1,6,-0.03123331069946289
1,22,-0.031130671501159
1,11,-0.03110682964324907
1,12,-0.03083598613738992
1,12,-0.03080606460571289
1,10,-0.03077554702758789
1,9,-0.03074312210083008
1,5,-0.03072679042816095
1,4,-0.0306810140609739
1,11,-0.03067135810852006
1,4,-0.03062534332275391
1,9,-0.03057742118835405
1,4,-0.03038132190704301
1,4,-0.03038132190704301
1,15,-0.03036928176879794
1,5,-0.030340075492858
1,8,-0.03028464317321711
1,11,-0.03028059005737305
1,17,-0.03024697303771906
1,8,-0.03024184703826904
1,9,-0.030239939689636
1,18,-0.03021955490112305
1,4,-0.03021538257598811
1,4,-0.03021538257598811
1,4,-0.03021538257598811
1,4,-0.03021538257598811
1,9,-0.03016030788421609
1,7,-0.03012859821319492
1,3,-0.03005611896514893
1,10,-0.03001999855041504
1,4,-0.02986729145050004
1,4,-0.02982747554779008
1,5,-0.02982211112976008
1,9,-0.02969110012054398
1,7,-0.02966880798339799
1,7,-0.02966880798339799
1,7,-0.02966880798339799
1,7,-0.0296051502227781
1,10,-0.02959895133972101
1,9,-0.029554963111877
1,11,-0.02952194213867099
1,5,-0.02948856353759699
1,10,-0.02944707870483398
1,4,-0.02942514419555597
1,5,-0.02940654754638605
1,4,-0.02939367294311501
1,15,-0.02938985824584894
1,11,-0.02935862541198708
1,11,-0.02931666374206498
1,9,-0.02926707267761208
1,6,-0.02926349639892489
1,11,-0.02923429012298495
1,8,-0.02915394306182795
1,9,-0.02910709381103493
1,6,-0.02908730506896906
1,4,-0.02905476093292192
1,6,-0.02902543544769198
1,4,-0.02890896797180109
1,4,-0.02890896797180109
1,3,-0.02888739109039306
1,3,-0.02886557579040505
1,5,-0.02886319160461404
1,5,-0.02886319160461404
1,5,-0.02886319160461404
1,7,-0.02885627746582009
1,9,-0.02884829044341997
1,5,-0.02884638309478693
1,5,-0.02884638309478693
1,5,-0.02884638309478693
1,5,-0.02884638309478693
1,3,-0.02879405021667392
1,12,-0.02879178524017289
1,6,-0.02875709533691406
1,8,-0.02874338626861506
1,8,-0.02874338626861506
